Program,Version,Program build date,Command line,Start time,Stop time,Elapsed time (seconds),Status
"GroundFilter",1.90,"Sep  5 2024 15:15:51"," 10.0 Data\LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las Data\LLY\Output\ground_points.las","Tue Jul 22 09:25:07 2025","Tue Jul 22 09:25:07 2025",0,Errors
"GridSurfaceCreate",2.10,"Sep  5 2024 15:15:34"," Data\LLY\Output\ground.dtm 10.0 M M 1 20 1 0 Data\LLY\Output\ground_points.las","Tue Jul 22 09:25:08 2025","Tue Jul 22 09:25:08 2025",0,Errors
"GroundFilter",1.90,"Sep  5 2024 15:15:51"," 10.0 LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las LLY\Output\ground_points.las","Tue Jul 22 09:29:18 2025","Tue Jul 22 09:29:18 2025",0,Errors
"GridSurfaceCreate",2.10,"Sep  5 2024 15:15:34"," LLY\Output\ground.dtm 10.0 M M 1 20 1 0 LLY\Output\ground_points.las","Tue Jul 22 09:29:18 2025","Tue Jul 22 09:29:18 2025",0,Errors
"GroundFilter",1.90,"Sep  5 2024 15:15:51"," 10.0 LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las LLY\Output\ground_points.las","Tue Jul 22 09:33:50 2025","Tue Jul 22 09:33:50 2025",0,Errors
"GridSurfaceCreate",2.10,"Sep  5 2024 15:15:34"," LLY\Output\ground.dtm 10.0 M M 1 20 1 0 LLY\Output\ground_points.las","Tue Jul 22 09:33:50 2025","Tue Jul 22 09:33:51 2025",1,Errors
"GroundFilter",1.90,"Sep  5 2024 15:15:51"," 10.0 LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las LLY\Output\ground_points.las","Tue Jul 22 09:34:03 2025","Tue Jul 22 09:34:03 2025",0,Errors
"GridSurfaceCreate",2.10,"Sep  5 2024 15:15:34"," LLY\Output\ground.dtm 10.0 M M 1 20 1 0 LLY\Output\ground_points.las","Tue Jul 22 09:34:03 2025","Tue Jul 22 09:34:03 2025",0,Errors
"GroundFilter",1.90,"Sep  5 2024 15:15:51"," 10.0 LLY\Airborne\20241009144557_AGRG_LLR_Topo_CGVD2013.las LLY\Output\ground_points.las","Tue Jul 22 09:34:56 2025","Tue Jul 22 09:34:56 2025",0,Errors
"GridSurfaceCreate",2.10,"Sep  5 2024 15:15:34"," LLY\Output\ground.dtm 10.0 M M 1 20 1 0 LLY\Output\ground_points.las","Tue Jul 22 09:34:56 2025","Tue Jul 22 09:34:56 2025",0,Errors
